Threat Category,IOCs (Indicators of Compromise),Threat Actor,Attack Vector,Geographical Location,Sentiment in Forums,Severity Score,Predicted Threat Category,Suggested Defense Mechanism,Risk Level Prediction,Cleaned Threat Description,Keyword Extraction,Named Entities (NER),Topic Modeling Labels,Word Count
DDoS,['123.456.78.9'],APT-28,Email,North Korea,0.99,5,DDoS,Increase Web Security,4,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Malware,47
Malware,"['10.0.0.2', 'infected.exe']",Lazarus Group,Network,USA,0.97,1,DDoS,Quarantine,4,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing,31
Phishing,"['malwarehash123', 'trojan.com']",APT-28,Email,North Korea,0.87,3,Phishing,Quarantine,2,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware,24
DDoS,"['192.168.1.1', 'malicious.com']",Lazarus Group,Web,Global,0.64,2,Phishing,Quarantine,1,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",DDoS,46
DDoS,"['malwarehash123', 'trojan.com']",Unknown,Email,Germany,0.57,1,DDoS,Patch Vulnerability,1,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",DDoS,24
Malware,"['malicious.net', 'spam.exe']",APT-28,Web,North Korea,0.93,5,DDoS,Patch Vulnerability,4,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Malware,34
Phishing,['123.456.78.9'],Lazarus Group,Email,Germany,0.58,1,Ransomware,Patch Vulnerability,5,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing,30
Phishing,"['192.168.1.1', 'malicious.com']",Anonymous,Web,North Korea,0.93,5,Ransomware,Increase Web Security,3,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Phishing,47
DDoS,"['192.168.1.1', 'malicious.com']",Anonymous,Network,Global,0.75,4,Ransomware,Patch Vulnerability,4,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing,11
Ransomware,"['malicious.net', 'spam.exe']",APT-28,Web,USA,0.7,5,DDoS,Monitor for Phishing,5,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Ransomware,36
